rank,n_seeds,mean_gap,std_gap,median_gap,q1_gap,q3_gap,min_gap,max_gap,cv
1,5,7.533712e-01,4.763189e-02,7.669524e-01,7.119373e-01,7.804732e-01,6.970052e-01,8.104879e-01,0.0632
2,5,8.058137e-01,3.198627e-02,7.993845e-01,7.836808e-01,8.352599e-01,7.686715e-01,8.420719e-01,0.0397
3,5,8.365479e-01,2.906640e-02,8.193295e-01,8.174064e-01,8.491785e-01,8.146820e-01,8.821429e-01,0.0347
4,5,8.055512e-01,5.764810e-02,8.120597e-01,8.015065e-01,8.475828e-01,7.109228e-01,8.556841e-01,0.0716
5,5,7.935573e-01,2.711780e-02,7.879165e-01,7.743583e-01,8.118167e-01,7.637867e-01,8.299081e-01,0.0342
