rank,n_seeds,mean_gap,std_gap,median_gap,q1_gap,q3_gap,min_gap,max_gap,cv
1,20,7.409174e-01,3.646414e-02,7.465039e-01,7.285759e-01,7.596760e-01,6.611194e-01,8.145104e-01,0.0492
2,20,7.482647e-01,2.565084e-02,7.513737e-01,7.366410e-01,7.652140e-01,6.985278e-01,7.904761e-01,0.0343
3,20,7.439371e-01,2.866673e-02,7.419232e-01,7.345646e-01,7.592079e-01,6.727063e-01,8.110340e-01,0.0385
4,20,7.278047e-01,2.641681e-02,7.218406e-01,7.110217e-01,7.449494e-01,6.855882e-01,7.803689e-01,0.0363
5,20,7.292089e-01,4.122600e-02,7.302317e-01,7.011453e-01,7.479037e-01,6.659744e-01,8.166546e-01,0.0565
